Date,Category,Amount,Type
02/08/2015 00:00:00,rent,25000,Expense
02/08/2015 00:00:00,public provident fund,100000,Expense
02/08/2015 00:00:00,money transfer,100000,Expense
02/10/2015 00:00:00,food,4200,Expense
02/12/2015 00:00:00,apparel,3250,Expense
02/13/2015 09:08:00,food,270,Expense
02/13/2015 09:08:00,food,210,Expense
02/15/2015 08:40:00,food,150,Expense
02/15/2015 08:40:00,food,200,Expense
02/15/2015 19:54:00,transportation,340,Expense
02/15/2015 19:54:00,transportation,150,Expense
02/15/2015 19:55:00,food,200,Expense
02/15/2015 19:57:00,other,5000,Expense
02/15/2015 21:37:00,household,2500,Expense
02/16/2015 10:18:00,transportation,300,Expense
02/16/2015 11:38:00,food,2490,Expense
02/17/2015 08:20:00,food,2270,Expense
02/19/2015 11:38:00,food,600,Expense
02/19/2015 20:51:00,health,340,Expense
02/19/2015 20:52:00,health,450,Expense
02/23/2015 09:19:00,other,41180,Expense
02/23/2015 15:43:00,transportation,5260,Expense
02/23/2015 18:39:00,apparel,200,Expense
02/23/2015 19:37:00,transportation,200,Expense
02/23/2015 21:15:00,transportation,200,Expense
02/24/2015 05:46:00,food,100,Expense
02/24/2015 05:47:00,transportation,660,Expense
02/24/2015 22:10:00,food,1600,Expense
02/26/2015 20:05:00,food,260,Expense
02/26/2015 20:05:00,food,300,Expense
02/26/2015 20:06:00,transportation,600,Expense
02/26/2015 20:06:00,food,60,Expense
02/28/2015 11:33:00,food,260,Expense
02/28/2015 17:30:00,salary,498060,Expense
02/28/2015 17:48:00,food,200,Expense
02/28/2015 17:48:00,food,550,Expense
03/01/2015 00:00:00,food,490,Expense
03/01/2015 00:00:00,food,3500,Expense
03/01/2015 00:00:00,other,2230,Expense
03/02/2015 00:00:00,food,270,Expense
03/02/2015 00:00:00,other,500,Expense
03/02/2015 00:00:00,food,1070,Expense
03/02/2015 00:00:00,food,100,Expense
03/02/2015 00:00:00,food,700,Expense
03/02/2015 00:00:00,other,1000,Expense
03/03/2015 00:00:00,health,820,Expense
03/03/2015 00:00:00,cook,16670,Expense
03/03/2015 00:00:00,health,30000,Expense
03/03/2015 00:00:00,garbage disposal,170,Expense
03/03/2015 00:00:00,water (jar /tanker),1080,Expense
03/03/2015 00:00:00,maid,3330,Expense
03/05/2015 00:00:00,food,11780,Expense
03/05/2015 00:00:00,cook,50000,Expense
03/05/2015 00:00:00,public provident fund,200000,Expense
03/08/2015 00:00:00,maid,3330,Expense
03/11/2015 00:00:00,transportation,400,Expense
03/13/2015 15:01:00,transportation,100,Expense
03/14/2015 09:11:00,food,260,Expense
03/14/2015 19:21:00,apparel,400,Expense
03/15/2015 18:38:00,food,360,Expense
03/15/2015 18:38:00,other,50,Expense
03/15/2015 18:39:00,apparel,300,Expense
03/16/2015 16:38:00,food,200,Expense
03/16/2015 21:30:00,health,10000,Expense
03/17/2015 16:21:00,other,4500,Expense
03/18/2015 09:25:00,food,260,Expense
03/18/2015 10:56:00,food,200,Expense
03/18/2015 13:22:00,food,250,Expense
03/18/2015 18:27:00,food,530,Expense
03/19/2015 16:08:00,household,500,Expense
03/20/2015 19:08:00,health,37000,Expense
03/20/2015 21:36:00,apparel,1000,Expense
03/23/2015 13:17:00,water (jar /tanker),200,Expense
03/23/2015 13:19:00,food,4338,Expense
03/24/2015 08:52:00,food,260,Expense
03/25/2015 14:02:00,water (jar /tanker),200,Expense
03/29/2015 20:06:00,food,1500,Expense
03/29/2015 20:08:00,health,2690,Expense
03/31/2015 13:00:00,salary,708060,Expense
04/01/2015 00:00:00,other,100000,Expense
04/01/2015 00:00:00,food,350,Expense
04/01/2015 00:00:00,food,1750,Expense
04/01/2015 00:00:00,food,200,Expense
04/02/2015 00:00:00,food,11780,Expense
04/02/2015 00:00:00,food,300,Expense
04/02/2015 00:00:00,food,260,Expense
04/03/2015 00:00:00,food,250,Expense
04/04/2015 00:00:00,food,2870,Expense
04/04/2015 00:00:00,food,8890,Expense
04/04/2015 00:00:00,other,3000,Expense
04/04/2015 00:00:00,garbage disposal,500,Expense
04/09/2015 00:00:00,other,48000,Expense
04/11/2015 00:00:00,public provident fund,100000,Expense
04/13/2015 12:24:00,recurring deposit,10000,Expense
04/13/2015 12:24:00,investment,10000,Expense
04/14/2015 12:24:00,other,5000,Expense
04/18/2015 10:33:00,food,3240,Expense
04/18/2015 10:33:00,other,1800,Expense
04/23/2015 13:00:00,food,560,Expense
04/24/2015 09:25:00,food,4200,Expense
04/26/2015 09:06:00,food,1140,Expense
04/26/2015 10:48:00,food,1100,Expense
04/26/2015 10:48:00,other,590,Expense
04/28/2015 08:43:00,food,280,Expense
04/28/2015 15:44:00,salary,493060,Expense
05/01/2015 00:00:00,other,22500,Expense
05/01/2015 00:00:00,other,28330,Expense
05/01/2015 00:00:00,other,3330,Expense
05/01/2015 00:00:00,food,1350,Expense
05/02/2015 00:00:00,food,3750,Expense
05/02/2015 00:00:00,food,400,Expense
05/02/2015 00:00:00,food,210,Expense
05/03/2015 00:00:00,beauty,400,Expense
05/03/2015 00:00:00,investment,10000,Expense
05/04/2015 00:00:00,money transfer,100000,Expense
05/05/2015 00:00:00,food,260,Expense
05/05/2015 00:00:00,food,1000,Expense
05/05/2015 00:00:00,recurring deposit,10000,Expense
05/05/2015 00:00:00,investment,10000,Expense
05/06/2015 00:00:00,investment,10000,Expense
05/06/2015 00:00:00,recurring deposit,10000,Expense
05/08/2015 00:00:00,recurring deposit,10000,Expense
05/08/2015 00:00:00,investment,10000,Expense
05/09/2015 00:00:00,recurring deposit,10000,Expense
05/09/2015 00:00:00,investment,10000,Expense
05/10/2015 00:00:00,investment,10000,Expense
05/10/2015 00:00:00,recurring deposit,10000,Expense
05/11/2015 00:00:00,food,840,Expense
05/11/2015 00:00:00,investment,10000,Expense
05/11/2015 00:00:00,recurring deposit,10000,Expense
05/12/2015 00:00:00,other,2000,Expense
05/12/2015 00:00:00,food,900,Expense
05/12/2015 00:00:00,recurring deposit,10000,Expense
05/12/2015 00:00:00,investment,10000,Expense
05/13/2015 08:31:00,food,260,Expense
05/13/2015 08:32:00,health,2500,Expense
05/14/2015 10:38:00,other,14500,Expense
05/15/2015 07:33:00,food,260,Expense
05/16/2015 11:24:00,food,260,Expense
05/16/2015 11:24:00,food,200,Expense
05/16/2015 14:52:00,other,6070,Expense
05/17/2015 17:57:00,transportation,60000,Expense
05/31/2015 12:02:00,salary,478590,Expense
05/31/2015 12:02:00,money transfer,100000,Expense
05/31/2015 21:44:00,household,26710,Expense
06/01/2015 00:00:00,food,150,Expense
06/03/2015 00:00:00,food,250,Expense
06/03/2015 00:00:00,transportation,100,Expense
06/04/2015 00:00:00,investment,10000,Expense
06/05/2015 00:00:00,health,700,Expense
06/07/2015 00:00:00,investment,10000,Expense
06/07/2015 00:00:00,recurring deposit,10000,Expense
06/23/2015 09:53:00,other,9990,Expense
06/29/2015 09:53:00,other,1990,Expense
06/30/2015 09:53:00,salary,478590,Expense
07/01/2015 00:00:00,food,310,Expense
07/02/2015 00:00:00,food,60,Expense
07/03/2015 00:00:00,investment,10000,Expense
07/03/2015 00:00:00,recurring deposit,10000,Expense
07/04/2015 00:00:00,recurring deposit,10000,Expense
07/04/2015 00:00:00,investment,10000,Expense
07/05/2015 00:00:00,investment,10000,Expense
07/07/2015 00:00:00,investment,10000,Expense
07/08/2015 00:00:00,investment,10000,Expense
07/09/2015 00:00:00,investment,10000,Expense
07/10/2015 00:00:00,gift,80290,Expense
07/10/2015 00:00:00,investment,10000,Expense
07/11/2015 00:00:00,investment,10000,Expense
07/11/2015 00:00:00,other,2510,Expense
07/12/2015 00:00:00,investment,10000,Expense
07/19/2015 22:24:00,other,25990,Expense
07/29/2015 14:36:00,other,1990,Expense
07/31/2015 14:38:00,salary,478590,Expense
08/01/2015 00:00:00,food,200,Expense
08/02/2015 00:00:00,food,300,Expense
08/02/2015 00:00:00,other,34000,Expense
08/02/2015 00:00:00,other,3710,Expense
08/02/2015 00:00:00,food,860,Expense
08/04/2015 00:00:00,food,1560,Expense
08/05/2015 00:00:00,food,260,Expense
08/06/2015 00:00:00,investment,10000,Expense
08/12/2015 00:00:00,other,280,Expense
08/13/2015 09:41:00,other,14500,Expense
08/14/2015 09:22:00,household,34990,Expense
08/28/2015 09:38:00,other,1990,Expense
08/30/2015 13:18:00,other,720,Expense
08/31/2015 07:47:00,other,2870,Expense
08/31/2015 11:48:00,money transfer,100000,Expense
08/31/2015 13:33:00,salary,498060,Expense
09/01/2015 00:00:00,food,200,Expense
09/01/2015 00:00:00,other,6500,Expense
09/02/2015 00:00:00,food,350,Expense
09/02/2015 00:00:00,food,1500,Expense
09/02/2015 00:00:00,transportation,1760,Expense
09/03/2015 00:00:00,other,60,Expense
09/03/2015 00:00:00,other,1290,Expense
09/05/2015 00:00:00,health,2900,Expense
09/05/2015 00:00:00,food,520,Expense
09/05/2015 00:00:00,food,200,Expense
09/07/2015 00:00:00,other,4590,Expense
09/21/2015 08:10:00,other,20990,Expense
09/26/2015 08:24:00,other,300,Expense
09/27/2015 10:54:00,other,1990,Expense
09/28/2015 10:52:00,health,3000,Expense
09/28/2015 10:53:00,health,1200,Expense
09/28/2015 10:54:00,other,3500,Expense
09/30/2015 14:24:00,other,1000,Expense
09/30/2015 14:25:00,salary,498060,Expense
10/01/2015 00:00:00,food,200,Expense
10/01/2015 00:00:00,other,500,Expense
10/01/2015 00:00:00,transportation,6500,Expense
10/01/2015 00:00:00,transportation,500,Expense
10/02/2015 00:00:00,food,60,Expense
10/02/2015 00:00:00,food,180,Expense
10/02/2015 00:00:00,food,600,Expense
10/03/2015 00:00:00,investment,10000,Expense
10/03/2015 00:00:00,transportation,118,Expense
10/03/2015 00:00:00,transportation,200,Expense
10/03/2015 00:00:00,transportation,100,Expense
10/04/2015 00:00:00,food,6990,Expense
10/05/2015 00:00:00,household,1600,Expense
10/06/2015 00:00:00,other,500,Expense
10/06/2015 00:00:00,recurring deposit,10000,Expense
10/06/2015 00:00:00,investment,10000,Expense
10/07/2015 00:00:00,investment,10000,Expense
10/07/2015 00:00:00,recurring deposit,10000,Expense
10/08/2015 00:00:00,recurring deposit,10000,Expense
10/08/2015 00:00:00,investment,10000,Expense
10/09/2015 00:00:00,investment,10000,Expense
10/09/2015 00:00:00,recurring deposit,10000,Expense
10/10/2015 00:00:00,recurring deposit,10000,Expense
10/10/2015 00:00:00,investment,10000,Expense
10/11/2015 00:00:00,investment,10000,Expense
10/11/2015 00:00:00,recurring deposit,10000,Expense
10/12/2015 00:00:00,investment,10000,Expense
10/12/2015 00:00:00,recurring deposit,10000,Expense
10/18/2015 21:35:00,transportation,8030,Expense
10/18/2015 21:35:00,apparel,14790,Expense
10/18/2015 21:35:00,money transfer,20000,Expense
10/21/2015 18:16:00,other,5000,Expense
10/22/2015 13:10:00,other,2510,Expense
10/23/2015 08:23:00,other,400,Expense
10/23/2015 14:30:00,transportation,200,Expense
10/24/2015 18:57:00,household,1000,Expense
10/25/2015 17:55:00,household,2400,Expense
10/27/2015 07:48:00,other,1990,Expense
10/28/2015 21:28:00,transportation,6600,Expense
10/28/2015 21:38:00,gift,10000,Expense
10/29/2015 10:17:00,transportation,6650,Expense
10/30/2015 06:35:00,transportation,300,Expense
10/30/2015 14:13:00,beauty,500,Expense
10/31/2015 09:26:00,transportation,1800,Expense
10/31/2015 09:27:00,health,1500,Expense
10/31/2015 12:08:00,food,2500,Expense
10/31/2015 12:09:00,salary,498060,Expense
10/31/2015 19:05:00,food,100,Expense
10/31/2015 19:06:00,transportation,710,Expense
10/31/2015 19:29:00,food,700,Expense
11/01/2015 00:00:00,beauty,500,Expense
11/01/2015 00:00:00,transportation,1700,Expense
11/02/2015 00:00:00,food,260,Expense
11/02/2015 00:00:00,food,540,Expense
11/03/2015 00:00:00,food,80,Expense
11/03/2015 00:00:00,recurring deposit,10000,Expense
11/05/2015 00:00:00,investment,10000,Expense
11/05/2015 00:00:00,recurring deposit,10000,Expense
11/05/2015 00:00:00,food,200,Expense
11/05/2015 00:00:00,food,260,Expense
11/09/2015 00:00:00,food,3790,Expense
11/12/2015 00:00:00,transportation,1000,Expense
11/14/2015 21:38:00,other,3100,Expense
11/15/2015 19:52:00,bonus,15000,Expense
11/21/2015 21:39:00,food,840,Expense
11/21/2015 21:40:00,other,2510,Expense
11/26/2015 06:51:00,other,1990,Expense
11/27/2015 16:25:00,food,250,Expense
11/29/2015 09:27:00,transportation,400,Expense
11/29/2015 09:27:00,transportation,300,Expense
11/29/2015 09:27:00,transportation,500,Expense
11/30/2015 11:30:00,salary,498060,Expense
12/01/2015 00:00:00,transportation,610,Expense
12/01/2015 00:00:00,transportation,1750,Expense
12/02/2015 00:00:00,food,120,Expense
12/02/2015 00:00:00,food,100,Expense
12/03/2015 00:00:00,health,19000,Expense
12/03/2015 00:00:00,food,300,Expense
12/05/2015 00:00:00,food,260,Expense
12/11/2015 00:00:00,food,250,Expense
12/12/2015 00:00:00,transportation,500,Expense
12/19/2015 14:20:00,health,2350,Expense
12/19/2015 21:14:00,health,2200,Expense
12/19/2015 22:28:00,food,800,Expense
12/20/2015 09:08:00,gift,4650,Expense
12/21/2015 23:18:00,other,1690,Expense
12/25/2015 17:24:00,household,500,Expense
12/25/2015 17:24:00,apparel,2700,Expense
12/26/2015 07:27:00,other,1990,Expense
12/26/2015 23:53:00,other,280,Expense
12/30/2015 17:30:00,beauty,20000,Expense
12/30/2015 17:31:00,food,1000,Expense
12/31/2015 16:56:00,salary,773350,Expense
12/31/2015 17:00:00,food,5400,Expense
01/01/2016 00:00:00,food,1920,Expense
01/01/2016 00:00:00,money transfer,100000,Expense
01/01/2016 00:00:00,investment,100000,Expense
01/01/2016 00:00:00,food,350,Expense
01/02/2016 00:00:00,investment,100000,Expense
01/04/2016 00:00:00,money transfer,100000,Expense
01/04/2016 00:00:00,investment,100000,Expense
01/05/2016 00:00:00,money transfer,100000,Expense
01/05/2016 00:00:00,investment,100000,Expense
01/06/2016 00:00:00,investment,100000,Expense
01/06/2016 00:00:00,food,250,Expense
01/06/2016 00:00:00,money transfer,100000,Expense
01/07/2016 00:00:00,money transfer,150000,Expense
01/07/2016 00:00:00,investment,100000,Expense
01/07/2016 00:00:00,family,25990,Expense
01/08/2016 00:00:00,money transfer,150000,Expense
01/08/2016 00:00:00,investment,100000,Expense
01/09/2016 00:00:00,money transfer,100000,Expense
01/09/2016 00:00:00,investment,100000,Expense
01/09/2016 00:00:00,subscription,2510,Expense
01/09/2016 00:00:00,transportation,7500,Expense
01/10/2016 00:00:00,festivals,2000,Expense
01/10/2016 00:00:00,investment,100000,Expense
01/10/2016 00:00:00,money transfer,100000,Expense
01/11/2016 00:00:00,money transfer,100000,Expense
01/11/2016 00:00:00,investment,100000,Expense
01/11/2016 00:00:00,food,500,Expense
01/11/2016 00:00:00,festivals,4500,Expense
01/12/2016 00:00:00,money transfer,100000,Expense
01/12/2016 00:00:00,investment,400000,Expense
01/13/2016 12:06:00,other,450000,Expense
01/22/2016 09:58:00,subscription,1690,Expense
01/26/2016 19:46:00,subscription,1990,Expense
01/31/2016 11:17:00,salary,498060,Expense
01/31/2016 11:19:00,money transfer,100000,Expense
02/03/2016 00:00:00,investment,100000,Expense
02/04/2016 00:00:00,transportation,500,Expense
02/04/2016 00:00:00,subscription,2510,Expense
02/04/2016 00:00:00,other,300,Expense
02/04/2016 00:00:00,food,200,Expense
02/05/2016 00:00:00,other,250,Expense
02/11/2016 00:00:00,grooming,800,Expense
02/13/2016 11:14:00,health,800,Expense
02/13/2016 11:14:00,transportation,400,Expense
02/14/2016 21:35:00,food,1650,Expense
02/20/2016 19:45:00,food,850,Expense
02/22/2016 09:05:00,subscription,1690,Expense
02/22/2016 21:02:00,food,400,Expense
02/24/2016 06:35:00,subscription,1990,Expense
02/26/2016 20:25:00,salary,498060,Expense
02/26/2016 20:26:00,money transfer,100000,Expense
02/27/2016 07:49:00,food,500,Expense
02/27/2016 07:49:00,other,2500,Expense
02/27/2016 07:49:00,subscription,2510,Expense
02/28/2016 10:07:00,other,110,Expense
02/28/2016 10:08:00,grooming,1000,Expense
02/28/2016 10:08:00,food,1000,Expense
02/28/2016 19:38:00,food,700,Expense
03/04/2016 00:00:00,subscription,3000,Expense
03/05/2016 00:00:00,subscription,2510,Expense
03/11/2016 00:00:00,bonus,15000,Expense
03/11/2016 00:00:00,other,4700,Expense
03/11/2016 00:00:00,food,2400,Expense
03/11/2016 00:00:00,health,7000,Expense
03/12/2016 00:00:00,food,550,Expense
03/12/2016 00:00:00,food,200,Expense
03/15/2016 17:08:00,subscription,2510,Expense
03/16/2016 12:44:00,gift,800,Expense
03/20/2016 12:05:00,other,50,Expense
03/20/2016 12:05:00,food,350,Expense
03/21/2016 04:26:00,subscription,2510,Expense
03/22/2016 14:53:00,subscription,1690,Expense
03/28/2016 15:20:00,other,1590,Expense
03/29/2016 05:35:00,other,1000,Expense
03/31/2016 10:25:00,salary,708060,Expense
04/07/2016 00:00:00,subscription,2510,Expense
04/08/2016 00:00:00,family,2600,Expense
04/11/2016 00:00:00,festivals,500,Expense
04/12/2016 00:00:00,food,200,Expense
04/12/2016 00:00:00,food,450,Expense
04/12/2016 00:00:00,food,150,Expense
04/12/2016 00:00:00,food,900,Expense
04/12/2016 00:00:00,food,500,Expense
04/12/2016 00:00:00,food,300,Expense
04/12/2016 00:00:00,food,80,Expense
04/12/2016 00:00:00,food,100,Expense
04/12/2016 00:00:00,food,250,Expense
04/15/2016 07:04:00,subscription,2510,Expense
04/16/2016 21:24:00,household,500,Expense
04/20/2016 10:27:00,subscription,2510,Expense
04/24/2016 22:10:00,subscription,1690,Expense
04/26/2016 08:30:00,food,2590,Expense
04/28/2016 22:24:00,subscription,2990,Expense
04/30/2016 21:58:00,salary,5156245,Expense
05/01/2016 00:00:00,food,3500,Expense
05/01/2016 00:00:00,investment,10000,Expense
05/01/2016 00:00:00,transportation,300,Expense
05/02/2016 00:00:00,investment,10000,Expense
05/03/2016 00:00:00,investment,10000,Expense
05/04/2016 00:00:00,investment,10000,Expense
05/05/2016 00:00:00,investment,10000,Expense
05/06/2016 00:00:00,food,680,Expense
05/06/2016 00:00:00,investment,10000,Expense
05/07/2016 00:00:00,investment,10000,Expense
05/07/2016 00:00:00,subscription,2510,Expense
05/08/2016 00:00:00,investment,10000,Expense
05/09/2016 00:00:00,investment,10000,Expense
05/10/2016 00:00:00,investment,10000,Expense
05/11/2016 00:00:00,investment,10000,Expense
05/11/2016 00:00:00,transportation,300,Expense
05/12/2016 00:00:00,recurring deposit,10000,Expense
05/12/2016 00:00:00,investment,10000,Expense
05/12/2016 00:00:00,family,1550,Expense
05/16/2016 20:48:00,subscription,2510,Expense
05/17/2016 12:34:00,other,1000,Expense
05/17/2016 21:59:00,investment,112860,Expense
05/19/2016 09:21:00,food,1800,Expense
05/22/2016 11:13:00,transportation,400,Expense
05/22/2016 11:13:00,grooming,1200,Expense
05/29/2016 19:16:00,food,5040,Expense
05/30/2016 12:46:00,subscription,2510,Expense
05/31/2016 09:51:00,transportation,500,Expense
05/31/2016 09:55:00,salary,515560,Expense
06/03/2016 00:00:00,subscription,2510,Expense
06/05/2016 00:00:00,subscription,2510,Expense
06/09/2016 00:00:00,transportation,5985,Expense
06/18/2016 19:45:00,other,380,Expense
06/19/2016 17:10:00,family,9050,Expense
06/19/2016 18:49:00,food,6000,Expense
06/20/2016 22:19:00,food,1400,Expense
06/22/2016 11:20:00,subscription,3500,Expense
06/23/2016 12:02:00,subscription,9950,Expense
06/27/2016 10:10:00,subscription,2510,Expense
06/27/2016 17:09:00,transportation,32000,Expense
06/30/2016 08:20:00,salary,515440,Expense
06/30/2016 11:40:00,interest,7400,Expense
06/30/2016 11:40:00,other,1069,Expense
07/01/2016 00:00:00,investment,10000,Expense
07/02/2016 00:00:00,food,1600,Expense
07/04/2016 00:00:00,investment,10000,Expense
07/05/2016 00:00:00,investment,10000,Expense
07/06/2016 00:00:00,investment,10000,Expense
07/07/2016 00:00:00,investment,10000,Expense
07/08/2016 00:00:00,investment,10000,Expense
07/08/2016 00:00:00,family,7500,Expense
07/09/2016 00:00:00,food,720,Expense
07/09/2016 00:00:00,investment,10000,Expense
07/10/2016 00:00:00,subscription,1990,Expense
07/11/2016 00:00:00,food,450,Expense
07/12/2016 00:00:00,investment,10000,Expense
07/13/2016 10:21:00,health,100,Expense
07/20/2016 07:03:00,subscription,25990,Expense
07/21/2016 16:33:00,subscription,2510,Expense
07/25/2016 10:48:00,subscription,2510,Expense
07/31/2016 18:50:00,other,2500,Expense
07/31/2016 18:51:00,salary,515560,Expense
08/01/2016 00:00:00,other,19940,Expense
08/02/2016 00:00:00,subscription,2510,Expense
08/02/2016 00:00:00,investment,10000,Expense
08/03/2016 00:00:00,investment,10000,Expense
08/09/2016 00:00:00,food,200,Expense
08/09/2016 00:00:00,food,300,Expense
08/09/2016 00:00:00,subscription,2510,Expense
08/10/2016 00:00:00,beauty,1740,Expense
08/11/2016 00:00:00,subscription,1990,Expense
08/12/2016 00:00:00,food,300,Expense
08/12/2016 00:00:00,other,1990,Expense
08/14/2016 16:12:00,grooming,1000,Expense
08/14/2016 16:13:00,other,50,Expense
08/18/2016 14:19:00,subscription,2510,Expense
08/21/2016 08:54:00,other,1000,Expense
08/22/2016 13:22:00,festivals,5000,Expense
08/23/2016 17:25:00,family,20000,Expense
08/24/2016 07:38:00,festivals,5000,Expense
08/29/2016 10:48:00,household,980,Expense
08/29/2016 10:48:00,household,400,Expense
08/29/2016 11:41:00,festivals,3610,Expense
08/31/2016 15:47:00,salary,638940,Expense
09/01/2016 00:00:00,subscription,2510,Expense
09/08/2016 00:00:00,subscription,2510,Expense
09/09/2016 00:00:00,food,700,Expense
09/10/2016 00:00:00,food,900,Expense
09/10/2016 00:00:00,family,2490,Expense
09/10/2016 00:00:00,health,400,Expense
09/10/2016 00:00:00,transportation,800,Expense
09/11/2016 00:00:00,other,100,Expense
09/12/2016 00:00:00,subscription,3010,Expense
09/13/2016 09:48:00,food,8450,Expense
09/13/2016 09:48:00,food,700,Expense
09/14/2016 10:13:00,family,4370,Expense
09/14/2016 13:24:00,subscription,2510,Expense
09/15/2016 06:52:00,food,950,Expense
09/19/2016 15:35:00,food,330,Expense
09/28/2016 07:32:00,other,320,Expense
09/30/2016 06:28:00,interest,8350,Expense
09/30/2016 06:28:00,salary,580580,Expense
10/01/2016 00:00:00,household,150,Expense
10/02/2016 00:00:00,investment,10000,Expense
10/03/2016 00:00:00,investment,10000,Expense
10/05/2016 00:00:00,investment,10000,Expense
10/06/2016 00:00:00,investment,10000,Expense
10/08/2016 00:00:00,investment,10000,Expense
10/09/2016 00:00:00,investment,10000,Expense
10/10/2016 00:00:00,food,1000,Expense
10/10/2016 00:00:00,investment,10000,Expense
10/11/2016 00:00:00,investment,112860,Expense
10/11/2016 00:00:00,transportation,400,Expense
10/11/2016 00:00:00,investment,10000,Expense
10/12/2016 00:00:00,food,300,Expense
10/12/2016 00:00:00,investment,10000,Expense
10/12/2016 00:00:00,recurring deposit,10000,Expense
10/13/2016 14:23:00,family,2490,Expense
10/14/2016 11:58:00,food,1200,Expense
10/15/2016 10:31:00,food,4300,Expense
10/17/2016 17:30:00,food,2150,Expense
10/22/2016 20:23:00,food,200,Expense
10/22/2016 20:24:00,food,350,Expense
10/24/2016 08:17:00,food,3200,Expense
10/25/2016 18:55:00,food,250,Expense
10/26/2016 13:58:00,health,6170,Expense
10/27/2016 10:40:00,food,1700,Expense
10/27/2016 13:57:00,subscription,2510,Expense
10/27/2016 13:57:00,food,250,Expense
10/27/2016 13:57:00,family,11192,Expense
